post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47759281,NASA Moon Base User's Guide [pdf],science,6,1,sethbannon,2026-04-14 23:47:46,0.14285714285714285,False
47714770,Show HN: Run GUIs as Scripts,entertainment,17,7,zero-st4rs,2026-04-14 23:51:51,0.3888888888888889,False
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,165,44,cvrajeesh,2026-04-14 23:52:46,0.26506024096385544,True
47762851,Show HN: A stateful UI runtime for reactive web apps in Go,entertainment,10,4,derstruct,2026-04-14 23:53:44,0.36363636363636365,False
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,510,294,a-ve,2026-04-14 23:54:14,0.5753424657534246,True
47757552,Show HN: Continual Learning with .md,entertainment,32,28,wenhan_zhou,2026-04-14 23:54:19,0.8484848484848485,False
47724352,Filing the corners off my MacBooks,entertainment,1398,673,normanvalentine,2026-04-14 23:54:30,0.4810578984989278,True
47761442,Show HN: Deflect One – command line dashboard for managing Linux servers via SSH,entertainment,6,4,whitemanv,2026-04-14 23:54:43,0.5714285714285714,False
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,54,0,mooreds,2026-04-14 23:55:06,0.0,False
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,107,Rochus,2026-04-14 23:55:21,0.44398340248962653,True
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,34,4,joe_mamba,2026-04-14 23:56:24,0.11428571428571428,False
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 23:57:49,0.23717948717948717,True
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 23:57:53,0.18421052631578946,False
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 23:58:32,0.0,False
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,169,randerson_112,2026-04-14 23:59:07,0.9548022598870056,True
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,91,39,chrisecker,2026-04-14 23:59:10,0.42391304347826086,False
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-14 23:59:27,0.5102040816326531,False
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,72,40,zachdive,2026-04-14 23:59:46,0.547945205479452,False
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 23:59:54,0.5,False
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,40,21,olleeolleeollee,2026-04-15 00:00:26,0.5121951219512195,False
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,14,2,plonkus,2026-04-15 00:00:28,0.13333333333333333,False
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-15 00:00:29,0.22580645161290322,False
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-15 00:01:22,0.515625,False
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-15 00:01:50,0.2857142857142857,False
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-15 00:02:09,1.0675675675675675,True
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-15 00:02:41,0.19047619047619047,False
